lat,lon,cloud_amount
-79.5,324.54547,77.7
-79.5,330.0,72.60000000000001
-79.5,335.45453,58.2
-79.5,340.90912,44.1
-79.5,346.36365,32.2
-79.5,351.81818,23.3
-79.5,357.2727,19.8
-78.5,2.5,15.9
-78.5,7.5,10.9
-78.5,12.5,10.100000000000001
-78.5,17.5,7.7
-78.5,22.5,5.7
-78.5,27.5,4.5
-78.5,32.5,4.1000000000000005
-78.5,37.5,3.0
-78.5,42.5,2.3000000000000003
-78.5,47.5,3.2
-78.5,52.5,2.5
-78.5,57.5,4.800000000000001
-78.5,62.5,5.800000000000001
-78.5,67.5,6.6000000000000005
-78.5,72.5,8.3
-78.5,77.5,7.0
-78.5,82.5,5.0
-78.5,87.5,2.7
-78.5,92.5,2.4000000000000004
-78.5,97.5,1.6
-78.5,102.5,1.7000000000000002
-78.5,107.5,1.9000000000000001
-78.5,112.5,2.7
-78.5,117.5,4.3
-78.5,122.5,5.7
-78.5,127.5,6.300000000000001
-78.5,132.5,7.800000000000001
-78.5,137.5,9.700000000000001
-78.5,142.5,10.700000000000001
-78.5,147.5,10.100000000000001
-78.5,152.5,16.2
-78.5,157.5,45.1
-78.5,162.5,87.9
-78.5,167.5,81.9
-78.5,172.5,74.5
-78.5,177.5,74.8
-78.5,182.5,79.2
-78.5,187.5,80.0
-78.5,192.5,85.30000000000001
-78.5,197.5,89.2
-78.5,202.5,85.5
-78.5,207.5,68.5
-78.5,212.5,63.2
-78.5,217.5,59.900000000000006
-78.5,222.5,55.1
-78.5,227.5,52.7
-78.5,232.5,50.5
-78.5,237.5,48.2
-78.5,242.5,51.300000000000004
-78.5,247.5,52.0
-78.5,252.5,48.5
-78.5,257.5,42.2
-78.5,262.5,36.2
-78.5,267.5,35.0
-78.5,272.5,51.300000000000004
-78.5,277.5,54.1
-78.5,282.5,58.300000000000004
-78.5,287.5,64.0
-78.5,292.5,69.2
-78.5,297.5,69.10000000000001
-78.5,302.5,68.9
-78.5,307.5,75.5
-78.5,312.5,51.5
-78.5,317.5,73.3
-78.5,322.5,80.5
-78.5,327.5,58.0
-78.5,332.5,61.0
-78.5,337.5,49.800000000000004
-78.5,342.5,39.400000000000006
-78.5,347.5,28.1
-78.5,352.5,25.3
-78.5,357.5,21.1
-77.5,2.3076923,13.100000000000001
-77.5,6.9230766,8.700000000000001
-77.5,11.538462,7.300000000000001
-77.5,16.153847,6.1000000000000005
-77.5,20.76923,4.2
-77.5,25.384617,5.0
-77.5,30.0,3.6
-77.5,34.615387,2.4000000000000004
-77.5,39.230766,1.7000000000000002
-77.5,43.846153,1.9000000000000001
-77.5,48.46154,2.0
-77.5,53.07692,3.3000000000000003
-77.5,57.692307,8.3
-77.5,62.307693,9.8
-77.5,66.92308,9.8
-77.5,71.53846,10.5
-77.5,76.15385,9.700000000000001
-77.5,80.76923,5.9
-77.5,85.38461,4.4
-77.5,90.0,3.8000000000000003
-77.5,94.61539,2.8000000000000003
-77.5,99.230774,2.7
-77.5,103.84615,3.3000000000000003
-77.5,108.46154,3.1
-77.5,113.07693,3.0
-77.5,117.69231,4.5
-77.5,122.30769,4.800000000000001
-77.5,126.92308,5.800000000000001
-77.5,131.53847,7.300000000000001
-77.5,136.15385,9.4
-77.5,140.76923,10.200000000000001
-77.5,145.38461,9.1
-77.5,150.0,11.600000000000001
-77.5,154.61539,15.9
-77.5,159.23077,62.7
-77.5,163.84616,86.4
-77.5,168.46153,84.0
-77.5,173.07692,79.80000000000001
-77.5,177.6923,82.30000000000001
-77.5,182.3077,83.30000000000001
-77.5,186.92308,83.2
-77.5,191.53847,86.60000000000001
-77.5,196.15385,89.10000000000001
-77.5,200.76923,85.7
-77.5,205.38461,73.2
-77.5,210.0,73.8
-77.5,214.61539,57.800000000000004
-77.5,219.23077,59.6
-77.5,223.84616,50.6
-77.5,228.46153,43.1
-77.5,233.07692,43.6
-77.5,237.6923,43.300000000000004
-77.5,242.3077,55.5
-77.5,246.92308,56.800000000000004
-77.5,251.53847,53.6
-77.5,256.15387,50.5
-77.5,260.76923,43.900000000000006
-77.5,265.38464,40.900000000000006
-77.5,270.0,41.1
-77.5,274.61536,47.900000000000006
-77.5,279.23077,38.5
-77.5,283.84613,51.1
-77.5,288.46155,69.4
-77.5,293.0769,73.2
-77.5,297.69232,72.5
-77.5,302.30768,68.60000000000001
-77.5,306.9231,75.60000000000001
-77.5,311.53845,83.30000000000001
-77.5,316.15387,81.10000000000001
-77.5,320.76923,81.30000000000001
-77.5,325.38464,80.0
-77.5,330.0,46.0
-77.5,334.61536,47.7
-77.5,339.23077,43.400000000000006
-77.5,343.84613,29.200000000000003
-77.5,348.46155,26.400000000000002
-77.5,353.0769,23.400000000000002
-77.5,357.69232,20.700000000000003
-76.5,2.142857,12.3
-76.5,6.428571,8.3
-76.5,10.714285,5.1000000000000005
-76.5,15.0,5.1000000000000005
-76.5,19.285713,3.7
-76.5,23.57143,3.4000000000000004
-76.5,27.857143,2.5
-76.5,32.142857,2.8000000000000003
-76.5,36.42857,1.9000000000000001
-76.5,40.714287,1.3
-76.5,45.0,1.9000000000000001
-76.5,49.285713,3.4000000000000004
-76.5,53.571426,6.4
-76.5,57.857143,10.9
-76.5,62.142857,14.3
-76.5,66.42857,15.5
-76.5,70.71428,14.8
-76.5,75.0,12.8
-76.5,79.28572,8.8
-76.5,83.57143,5.5
-76.5,87.85715,4.0
-76.5,92.14285,3.1
-76.5,96.42857,2.9000000000000004
-76.5,100.71428,3.9000000000000004
-76.5,105.0,4.2
-76.5,109.28572,3.4000000000000004
-76.5,113.57143,3.8000000000000003
-76.5,117.85715,5.7
-76.5,122.14285,4.1000000000000005
-76.5,126.42857,4.800000000000001
-76.5,130.7143,5.7
-76.5,135.0,8.4
-76.5,139.2857,9.1
-76.5,143.57144,9.700000000000001
-76.5,147.85715,10.600000000000001
-76.5,152.14285,10.5
-76.5,156.42859,19.3
-76.5,160.7143,82.0
-76.5,165.0,73.8
-76.5,169.2857,79.5
-76.5,173.57144,75.0
-76.5,177.85715,79.60000000000001
-76.5,182.14285,82.60000000000001
-76.5,186.42859,85.10000000000001
-76.5,190.7143,86.80000000000001
-76.5,195.0,86.2
-76.5,199.2857,85.4
-76.5,203.57144,83.0
-76.5,207.85715,78.9
-76.5,212.14285,78.80000000000001
-76.5,216.42859,59.0
-76.5,220.7143,60.300000000000004
-76.5,225.0,49.900000000000006
-76.5,229.2857,46.6
-76.5,233.57144,47.2
-76.5,237.85715,43.800000000000004
-76.5,242.14285,56.5
-76.5,246.42859,54.900000000000006
-76.5,250.7143,57.0
-76.5,255.0,52.300000000000004
-76.5,259.2857,47.300000000000004
-76.5,263.5714,49.5
-76.5,267.85715,49.2
-76.5,272.14285,49.300000000000004
-76.5,276.42856,48.900000000000006
-76.5,280.7143,40.7
-76.5,285.0,55.800000000000004
-76.5,289.2857,63.900000000000006
-76.5,293.5714,73.7
-76.5,297.85715,74.2
